Restaurant_Name,Category,Pricing_for_2,Locality,Dining_Rating,Dining_Review_Count,Delivery_Rating,Delivery_Rating_Count,Website,Address,Phone_No,Latitude,Longitude,Known_For2,Price_range
Cafe Lota,"Cafe, South Indian, North Indian, Beverages",1200," Pragati Maidan, New Delhi",4.9,3748,3.9,37,https://www.zomato.com/ncr/cafe-lota-pragati-maidan-new-delhi,"National Crafts Museum, Gate 2, Bhairon Marg, Pragati Maidan, New Delhi",9.17839E+11,28.613429,77.242471,"Pondicherry Fish Curry, Coconut Rabdi, Sabudana Pop Corn, Chicken Pasanda, Majestic Chicken, Bhapa Doi",High(>1000)
Carnatic Cafe,South Indian,600," Lodhi Colony, New Delhi",4.9,2518,4.2,931,https://www.zomato.com/ncr/carnatic-cafe-lodhi-colony-new-delhi,"84-85, Meharchand Market, Lodhi Road, Near Lodhi Colony, New Delhi",9.19667E+11,28.584296,77.226613,"Malleshwari Dosa, Benne Khali Dosa, Obbattu, Raagi Masala Dosa, Bombat Dosa, Puliyogare",Low(<600)
Natural Ice Cream,"Ice Cream, Desserts",400," Connaught Place, New Delhi",4.9,4014,4.5,6969,https://www.zomato.com/NaturalsCP,"L-8, L Block, Outer Circle, Connaught Place, New Delhi",9.11144E+11,28.63444917,77.22203437,"Watermelon Ice Cream, Choco Bite, Chocobite, Choco Almond, Roasted Almond Ice Cream, Tender Coconut Ice Cream",Low(<600)
Juggernaut,"South Indian, North Indian, Fast Food, Desserts, Beverages",700," Kailash Colony, New Delhi",4.8,2480,4.2,573,https://www.zomato.com/ncr/juggernaut-kailash-colony-new-delhi,"HS-16, Main Market, Kailash Colony, New Delhi",9.11141E+11,28.55293914,77.24094898,"Podi Ghee Idli, Chettinad Idli, Ganne Ka Ras, Pesarattu, Appalam, Chettinad Curry",Medium(600-100)
Cafeteria & Co.,"Cafe, Continental, Italian, Fast Food, Oriental, Beverages",1300," Vijay Nagar, New Delhi",4.8,5228,4.1,2037,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi,"G 14, Hudson Lane, Vijay Nagar, New Delhi",9.17043E+11,28.69448281,77.2042758,"Peri Peri Chicken Skewer, Tropical Heaven Sundae, Chicken Cannelloni, Banana Nutella Crepe, Chipotle Pizza, Blueberry Ice Cream",High(>1000)
Sana-Di-Ge,"Mangalorean, Seafood, Goan, South Indian, North Indian, Kerala",2200," Chanakyapuri, New Delhi",4.8,2038,4.3,172,https://www.zomato.com/ncr/sana-di-ge-chanakyapuri-new-delhi,"22/48, Ground Floor, First Floor And Second Floor, Commercial Complex, Malcha Marg, Chanakayapuri, New Delhi",9.11141E+11,28.60191756,77.18709189,"Interiors and the outdoor seating , along with Seafood and authentic South Indian delicacies",High(>1000)
Coast Cafe,"Continental, Kerala",1400," Hauz Khas Village, New Delhi",4.8,1472,4.3,2115,https://www.zomato.com/ncr/coast-cafe-hauz-khas-village-new-delhi,"H-2, 2nd & 3rd Floor, Hauz Khas Village, New Delhi",9.11142E+11,28.55481538,77.19520323,"Garam Curry Chicken, Aubergine Curry, Masala Fish Curry, Kerala Fish Fry, Kokum Curry, Avial",High(>1000)
Gulati,"North Indian, Biryani, Hyderabadi, Mughlai, Kebab",2500," Pandara Road Market, New Delhi",4.7,6509,4.3,10500,https://www.zomato.com/ncr/gulati-pandara-road-new-delhi,"6, Pandara Road Market, New Delhi",9.11123E+11,28.608007,77.23014,"Paneer Gilafi, Neza Kebab, Shahi Veg Platter, Handi Gosht, Methi Paneer, Hyderabadi Veg Biryani",High(>1000)
Olive Bar & Kitchen,"Italian, Pizza, Mediterranean, Continental, European, Beverages, Desserts",4000," Mehrauli, New Delhi",4.7,2734,3.2,21,https://www.zomato.com/ncr/olive-bar-kitchen-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.1981E+11,28.52577788,77.18435403,"Cheese Souffle, Fettucine, Scallops, Gnocchi, Sunday Brunches, Date Night",High(>1000)
The Grammar Room,"Continental, Desserts, Beverages",1200," Mehrauli, New Delhi",4.7,1068,3.9,20,https://www.zomato.com/ncr/the-grammar-room-mehrauli-new-delhi,"6-8, Kalka Das Marg, Mehrauli, New Delhi",9.17429E+11,28.52594107,77.1843309,"Mushroom Melt, Spicy Fries, French Toast, Dessert Counter, Cookie, Mocha",High(>1000)
Bo Tai,"Thai, Japanese, Asian, Beverages",2500," Mehrauli, New Delhi",4.7,1194,3.9,46,https://www.zomato.com/ncr/bo-tai-1-mehrauli-new-delhi,"6/4, Kalka Das Marg, Near Qutub Minar, Mehrauli, New Delhi",9.19871E+11,28.52563884,77.18419746,The restaurant uses Bamboo and Copper straws as eco-friendly alternatives.,High(>1000)
